time,outdoor_temperature,outdoor_humidity,people_occupant
01-01 00:10,4.5333333,63.666668,0.0
01-01 00:20,4.8,61.0,0.0
01-01 00:30,5.0666666,58.333332,0.0
01-01 00:40,5.3333335,55.666668,0.0
01-01 00:50,5.6,53.0,0.0
01-01 01:00,5.4333334,53.833332,0.0
01-01 01:10,5.266667,54.666668,0.0
01-01 01:20,5.1,55.5,0.0
01-01 01:30,4.9333334,56.333332,0.0
01-01 01:40,4.766667,57.166668,0.0
01-01 01:50,4.6,58.0,0.0
01-01 02:00,4.45,59.0,0.0
01-01 02:10,4.3,60.0,0.0
01-01 02:20,4.15,61.0,0.0
01-01 02:30,4.0,62.0,0.0
01-01 02:40,3.85,63.0,0.0
01-01 02:50,3.7,64.0,0.0
01-01 03:00,3.45,65.0,0.0
01-01 03:10,3.2,66.0,0.0
01-01 03:20,2.95,67.0,0.0
01-01 03:30,2.7,68.0,0.0
01-01 03:40,2.45,69.0,0.0
01-01 03:50,2.2,70.0,0.0
01-01 04:00,2.0333333,70.666664,0.0
01-01 04:10,1.8666667,71.333336,0.0
01-01 04:20,1.7,72.0,0.0
01-01 04:30,1.5333333,72.666664,0.0
01-01 04:40,1.3666667,73.333336,0.0
01-01 04:50,1.2,74.0,0.0
01-01 05:00,1.1333333,74.666664,0.0
01-01 05:10,1.0666667,75.333336,0.0
01-01 05:20,1.0,76.0,0.0
01-01 05:30,0.93333334,76.666664,0.0
01-01 05:40,0.8666667,77.333336,0.0
01-01 05:50,0.8,78.0,0.0
01-01 06:00,0.9166667,77.166664,0.96000004
01-01 06:10,1.0333333,76.333336,0.96000004
01-01 06:20,1.15,75.5,0.96000004
01-01 06:30,1.2666667,74.666664,0.96000004
01-01 06:40,1.3833333,73.833336,0.96000004
01-01 06:50,1.5,73.0,0.96000004
01-01 07:00,1.3333334,73.0,1.9200001
01-01 07:10,1.1666666,73.0,1.9200001
01-01 07:20,1.0,73.0,1.9200001
01-01 07:30,0.8333333,73.0,1.9200001
01-01 07:40,0.6666667,73.0,1.9200001
01-01 07:50,0.5,73.0,1.9200001
01-01 08:00,1.3666667,69.5,8.16
01-01 08:10,2.2333333,66.0,8.16
01-01 08:20,3.1,62.5,8.16
01-01 08:30,3.9666667,59.0,8.16
01-01 08:40,4.8333335,55.5,8.16
01-01 08:50,5.7,52.0,8.16
01-01 09:00,5.9,51.166668,9.6
01-01 09:10,6.1,50.333332,9.6
01-01 09:20,6.3,49.5,9.6
01-01 09:30,6.5,48.666668,9.6
01-01 09:40,6.7,47.833332,9.6
01-01 09:50,6.9,47.0,9.6
01-01 10:00,7.4,46.5,9.6
01-01 10:10,7.9,46.0,9.6
01-01 10:20,8.4,45.5,9.6
01-01 10:30,8.9,45.0,9.6
