time,outdoor_temperature,people_occupant
01-01 00:10,4.5333333,0.0
01-01 00:20,4.8,0.0
01-01 00:30,5.0666666,0.0
01-01 00:40,5.3333335,0.0
01-01 00:50,5.6,0.0
01-01 01:00,5.4333334,0.0
01-01 01:10,5.266667,0.0
01-01 01:20,5.1,0.0
01-01 01:30,4.9333334,0.0
01-01 01:40,4.766667,0.0
01-01 01:50,4.6,0.0
01-01 02:00,4.45,0.0
01-01 02:10,4.3,0.0
01-01 02:20,4.15,0.0
01-01 02:30,4.0,0.0
01-01 02:40,3.85,0.0
01-01 02:50,3.7,0.0
01-01 03:00,3.45,0.0
01-01 03:10,3.2,0.0
01-01 03:20,2.95,0.0
01-01 03:30,2.7,0.0
01-01 03:40,2.45,0.0
01-01 03:50,2.2,0.0
01-01 04:00,2.0333333,0.0
01-01 04:10,1.8666667,0.0
01-01 04:20,1.7,0.0
01-01 04:30,1.5333333,0.0
01-01 04:40,1.3666667,0.0
01-01 04:50,1.2,0.0
01-01 05:00,1.1333333,0.0
01-01 05:10,1.0666667,0.0
01-01 05:20,1.0,0.0
01-01 05:30,0.93333334,0.0
01-01 05:40,0.8666667,0.0
01-01 05:50,0.8,0.0
01-01 06:00,0.9166667,0.96000004
01-01 06:10,1.0333333,0.96000004
01-01 06:20,1.15,0.96000004
01-01 06:30,1.2666667,0.96000004
01-01 06:40,1.3833333,0.96000004
01-01 06:50,1.5,0.96000004
01-01 07:00,1.3333334,1.9200001
01-01 07:10,1.1666666,1.9200001
01-01 07:20,1.0,1.9200001
01-01 07:30,0.8333333,1.9200001
01-01 07:40,0.6666667,1.9200001
01-01 07:50,0.5,1.9200001
01-01 08:00,1.3666667,8.16
01-01 08:10,2.2333333,8.16
01-01 08:20,3.1,8.16
01-01 08:30,3.9666667,8.16
01-01 08:40,4.8333335,8.16
01-01 08:50,5.7,8.16
01-01 09:00,5.9,9.6
01-01 09:10,6.1,9.6
01-01 09:20,6.3,9.6
01-01 09:30,6.5,9.6
01-01 09:40,6.7,9.6
01-01 09:50,6.9,9.6
01-01 10:00,7.4,9.6
01-01 10:10,7.9,9.6
01-01 10:20,8.4,9.6
01-01 10:30,8.9,9.6
01-01 10:40,9.4,9.6
01-01 10:50,9.9,9.6
01-01 11:00,10.383333,9.6
01-01 11:10,10.866667,9.6
01-01 11:20,11.35,9.6
01-01 11:30,11.833333,9.6
01-01 11:40,12.316667,9.6
01-01 11:50,12.8,9.6
01-01 12:00,13.016666,4.8
01-01 12:10,13.233334,4.8
01-01 12:20,13.45,4.8
01-01 12:30,13.666667,4.8
01-01 12:40,13.883333,4.8
01-01 12:50,14.1,4.8
01-01 13:00,14.116667,7.68
01-01 13:10,14.133333,7.68
01-01 13:20,14.15,7.68
01-01 13:30,14.166667,7.68
01-01 13:40,14.183333,7.68
01-01 13:50,14.2,7.68
01-01 14:00,14.333333,7.68
01-01 14:10,14.466666,7.68
01-01 14:20,14.6,7.68
01-01 14:30,14.733334,7.68
01-01 14:40,14.866667,7.68
01-01 14:50,15.0,7.68
01-01 15:00,15.016666,7.68
01-01 15:10,15.033334,7.68
01-01 15:20,15.05,7.68
01-01 15:30,15.066667,7.68
01-01 15:40,15.083333,7.68
01-01 15:50,15.1,7.68
01-01 16:00,15.033334,7.68
01-01 16:10,14.966666,7.68
01-01 16:20,14.9,7.68
