months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,5.633333,83.0,5.0,50.0,13.11045,53.709324,0.0,442.11703,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,4.95,84.0,5.0,50.0,12.994495,53.569565,0.0,436.71725,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,4.266667,85.0,5.0,50.0,12.8376465,53.39953,0.0,432.01675,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,3.5833333,86.0,5.0,50.0,12.664954,53.136944,0.0,427.86084,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,2.9,87.0,5.0,50.0,12.486019,52.7704,0.0,424.20255,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,2.8166666,87.333336,5.0,50.0,12.346477,52.25014,0.0,421.00897,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,2.7333333,87.666664,5.0,50.0,12.246572,51.680668,0.0,418.2349,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,2.65,88.0,5.0,50.0,12.168174,51.142914,0.0,415.82904,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,2.5666666,88.333336,5.0,50.0,12.098594,50.67032,0.0,413.74222,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,2.4833333,88.666664,5.0,50.0,12.033629,50.261642,0.0,411.9312,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,2.4,89.0,5.0,50.0,11.972768,49.905777,0.0,410.359,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,2.3666666,89.0,5.0,50.0,11.918693,49.591484,0.0,408.99396,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,2.3333333,89.0,5.0,50.0,11.870915,49.304394,0.0,407.80884,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,2.3,89.0,5.0,50.0,11.827586,49.044495,0.0,406.77994,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,2.2666667,89.0,5.0,50.0,11.787301,48.811222,0.0,405.88666,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,2.2333333,89.0,5.0,50.0,11.749357,48.602318,0.0,405.1111,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,2.2,89.0,5.0,50.0,11.713401,48.41491,0.0,404.43777,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,2.1,89.166664,5.0,50.0,11.674415,48.24451,0.0,403.8531,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,2.0,89.333336,5.0,50.0,11.631954,48.092514,0.0,403.34534,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,1.9,89.5,5.0,50.0,11.587752,47.950287,0.0,402.90442,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,1.8,89.666664,5.0,50.0,11.543095,47.81295,0.0,402.5215,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,1.7,89.833336,5.0,50.0,11.49839,47.679012,0.0,402.18906,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,1.6,90.0,5.0,50.0,11.453642,47.548244,0.0,401.90036,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,1.5,90.5,5.0,50.0,11.408938,47.432117,0.0,401.6497,0.0,0.0,False,False,01-31 04:00,0.0,0.0
1.0,31.0,4.0,1.4,91.0,5.0,50.0,11.364301,47.336433,0.0,401.43207,0.0,0.0,False,False,01-31 04:10,0.0,0.0
1.0,31.0,4.0,1.3,91.5,5.0,50.0,11.31971,47.261185,0.0,401.2431,0.0,0.0,False,False,01-31 04:20,0.0,0.0
1.0,31.0,4.0,1.2,92.0,5.0,50.0,11.275147,47.203835,0.0,401.07904,0.0,0.0,False,False,01-31 04:30,0.0,0.0
1.0,31.0,4.0,1.1,92.5,5.0,50.0,11.230608,47.161507,0.0,400.9366,0.0,0.0,False,False,01-31 04:40,0.0,0.0
1.0,31.0,4.0,1.0,93.0,5.0,50.0,11.186093,47.131752,0.0,400.81296,0.0,0.0,False,False,01-31 04:50,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.174076,47.017277,0.0,400.70563,0.0,0.0,False,False,01-31 05:00,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.168859,46.900337,0.0,400.61246,0.0,0.0,False,False,01-31 05:10,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.15693,46.82198,0.0,400.53162,0.0,0.0,False,False,01-31 05:20,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.139599,46.775883,0.0,400.46143,0.0,0.0,False,False,01-31 05:30,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.121161,46.746475,0.0,400.4005,0.0,0.0,False,False,01-31 05:40,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,11.103633,46.725636,0.0,400.34766,0.0,0.0,False,False,01-31 05:50,0.0,0.0
1.0,31.0,6.0,1.0,91.833336,5.0,50.0,11.60288,45.232906,1.0,407.49023,0.0,0.0,True,False,01-31 06:00,0.0,0.0
1.0,31.0,6.0,1.0,90.666664,21.0,23.0,11.408032,45.55967,1.0,414.33725,13500.0,405105.0,True,False,01-31 06:10,1.0,1.0
1.0,31.0,6.0,1.0,89.5,21.0,23.0,11.32699,45.530685,1.0,418.56613,27000.0,405652.28,True,False,01-31 06:20,1.0,1.0
