months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,11.4,21.333334,5.0,50.0,18.494907,12.909054,0.0,443.551,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,11.05,25.0,5.0,50.0,18.383806,13.199931,0.0,437.98425,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,10.7,28.666666,5.0,50.0,18.245388,13.75963,0.0,433.1452,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,10.35,32.333332,5.0,50.0,18.099792,14.52202,0.0,428.8702,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,10.0,36.0,5.0,50.0,17.953917,15.44557,0.0,425.10852,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,10.166667,35.5,5.0,50.0,17.848263,16.3356,0.0,421.82352,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,10.333333,35.0,5.0,50.0,17.78233,17.104343,0.0,418.9678,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,10.5,34.5,5.0,50.0,17.738453,17.74717,0.0,416.48877,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,10.666667,34.0,5.0,50.0,17.704836,18.285355,0.0,414.33633,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,10.833333,33.5,5.0,50.0,17.677727,18.737865,0.0,412.46652,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,11.0,33.0,5.0,50.0,17.656557,19.117496,0.0,410.84158,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,10.666667,33.833332,5.0,50.0,17.602448,19.488321,0.0,409.42804,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,10.333333,34.666668,5.0,50.0,17.514774,19.868708,0.0,408.19785,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,10.0,35.5,5.0,50.0,17.408924,20.246195,0.0,407.12717,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,9.666667,36.333332,5.0,50.0,17.29552,20.609928,0.0,406.1955,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,9.333333,37.166668,5.0,50.0,17.177933,20.956886,0.0,405.38498,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,9.0,38.0,5.0,50.0,17.056541,21.287786,0.0,404.67996,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,9.166667,37.666668,5.0,50.0,16.968998,21.561148,0.0,404.06726,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,9.333333,37.333332,5.0,50.0,16.915781,21.775175,0.0,403.5351,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,9.5,37.0,5.0,50.0,16.881718,21.952036,0.0,403.07294,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,9.666667,36.666668,5.0,50.0,16.856411,22.107014,0.0,402.67145,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,9.833333,36.333332,5.0,50.0,16.836548,22.245466,0.0,402.32266,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,10.0,36.0,5.0,50.0,16.822004,22.368237,0.0,402.0196,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,10.0,35.5,5.0,50.0,16.80032,22.467985,0.0,401.75616,0.0,0.0,False,False,01-31 04:00,0.0,0.0
