months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,-6.266667,87.333336,5.0,50.0,10.077961,26.418333,0.0,416.249,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,-6.5,88.5,5.0,50.0,9.735199,26.937328,0.0,414.52917,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,-6.733333,89.666664,5.0,50.0,9.556886,27.18698,0.0,412.785,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,-6.9666667,90.833336,5.0,50.0,9.438558,27.287836,0.0,411.01297,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,-7.2,92.0,5.0,50.0,9.367645,27.291636,0.0,409.64127,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,-7.116667,91.333336,5.0,50.0,9.3089485,27.25051,0.0,408.5268,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,-7.0333333,90.666664,5.0,50.0,9.256269,27.21176,0.0,407.567,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,-6.95,90.0,5.0,50.0,9.210959,27.17465,0.0,406.71527,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,-6.866667,89.333336,5.0,50.0,9.173357,27.137133,0.0,405.9547,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,-6.7833333,88.666664,5.0,50.0,9.142284,27.099295,0.0,405.2773,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,-6.7,88.0,5.0,50.0,9.11635,27.061892,0.0,404.6761,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,-6.7,88.666664,5.0,50.0,9.080693,27.059456,0.0,404.14337,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,-6.7,89.333336,5.0,50.0,9.034028,27.105043,0.0,403.6716,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,-6.7,90.0,5.0,50.0,8.981945,27.188608,0.0,403.25375,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,-6.7,90.666664,5.0,50.0,8.928991,27.299282,0.0,402.88354,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,-6.7,91.333336,5.0,50.0,8.876989,27.430714,0.0,402.55554,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,-6.7,92.0,5.0,50.0,8.826283,27.579632,0.0,402.2649,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,8.782954,27.72413,0.0,402.00735,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,8.747429,27.84975,0.0,401.7791,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,8.717239,27.958508,0.0,401.57684,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,8.690304,28.054716,0.0,401.39758,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,8.665661,28.141254,0.0,401.23874,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,8.642977,28.219625,0.0,401.09793,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,8.620741,28.293324,0.0,400.97314,0.0,0.0,False,False,01-31 04:00,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,8.597885,28.364855,0.0,400.86255,0.0,0.0,False,False,01-31 04:10,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,8.574798,28.433859,0.0,400.76453,0.0,0.0,False,False,01-31 04:20,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,8.552053,28.499557,0.0,400.67767,0.0,0.0,False,False,01-31 04:30,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,8.529902,28.561764,0.0,400.60068,0.0,0.0,False,False,01-31 04:40,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,8.508357,28.620718,0.0,400.53244,0.0,0.0,False,False,01-31 04:50,0.0,0.0
1.0,31.0,5.0,-6.6,91.333336,5.0,50.0,8.521376,28.617617,0.0,400.47195,0.0,0.0,False,False,01-31 05:00,0.0,0.0
1.0,31.0,5.0,-6.5,90.666664,5.0,50.0,8.543361,28.59859,0.0,400.41837,0.0,0.0,False,False,01-31 05:10,0.0,0.0
1.0,31.0,5.0,-6.4,90.0,5.0,50.0,8.559552,28.592417,0.0,400.37085,0.0,0.0,False,False,01-31 05:20,0.0,0.0
1.0,31.0,5.0,-6.3,89.333336,5.0,50.0,8.570205,28.598253,0.0,400.32877,0.0,0.0,False,False,01-31 05:30,0.0,0.0
1.0,31.0,5.0,-6.2,88.666664,5.0,50.0,8.579498,28.607582,0.0,400.29147,0.0,0.0,False,False,01-31 05:40,0.0,0.0
