months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,5.633333,83.0,5.0,50.0,14.765743,47.31693,0.0,400.51318,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,4.95,84.0,5.0,50.0,13.968452,49.173447,0.0,400.4254,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,4.266667,85.0,5.0,50.0,13.458402,50.273773,0.0,400.4075,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,3.5833333,86.0,5.0,50.0,13.0678625,50.919548,0.0,400.39456,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,2.9,87.0,5.0,50.0,12.6673975,51.0552,0.0,400.32687,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,2.8166666,87.333336,5.0,50.0,12.375163,50.90594,0.0,400.27002,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,2.7333333,87.666664,5.0,50.0,12.188719,50.774975,0.0,400.23358,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,2.65,88.0,5.0,50.0,11.984684,50.59146,0.0,400.19296,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,2.5666666,88.333336,5.0,50.0,11.805804,50.45934,0.0,400.15985,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,2.4833333,88.666664,5.0,50.0,11.64486,50.37403,0.0,400.1326,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,2.4,89.0,5.0,50.0,11.499649,50.32099,0.0,400.11002,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,2.3666666,89.0,5.0,50.0,11.37152,50.28721,0.0,400.09128,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,2.3333333,89.0,5.0,50.0,11.258146,50.260174,0.0,400.0757,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,2.3,89.0,5.0,50.0,11.156194,50.241924,0.0,400.0628,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,2.2666667,89.0,5.0,50.0,11.063295,50.232937,0.0,400.0521,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,2.2333333,89.0,5.0,50.0,10.978037,50.231636,0.0,400.0432,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,2.2,89.0,5.0,50.0,10.899503,50.2357,0.0,400.03586,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,2.1,89.166664,5.0,50.0,10.820932,50.24256,0.0,400.02975,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,2.0,89.333336,5.0,50.0,10.741719,50.25251,0.0,400.0247,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,1.9,89.5,5.0,50.0,10.663726,50.256237,0.0,400.02048,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,1.8,89.666664,5.0,50.0,10.587992,50.25029,0.0,400.017,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,1.7,89.833336,5.0,50.0,10.514509,50.23538,0.0,400.0141,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,1.6,90.0,5.0,50.0,10.442945,50.21312,0.0,400.0117,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,1.5,90.5,5.0,50.0,10.373196,50.20079,0.0,400.0097,0.0,0.0,False,False,01-31 04:00,0.0,0.0
1.0,31.0,4.0,1.4,91.0,5.0,50.0,10.305105,50.207134,0.0,400.00806,0.0,0.0,False,False,01-31 04:10,0.0,0.0
1.0,31.0,4.0,1.3,91.5,5.0,50.0,10.238477,50.232445,0.0,400.00668,0.0,0.0,False,False,01-31 04:20,0.0,0.0
1.0,31.0,4.0,1.2,92.0,5.0,50.0,10.173139,50.27342,0.0,400.00552,0.0,0.0,False,False,01-31 04:30,0.0,0.0
1.0,31.0,4.0,1.1,92.5,5.0,50.0,10.108956,50.326374,0.0,400.00458,0.0,0.0,False,False,01-31 04:40,0.0,0.0
1.0,31.0,4.0,1.0,93.0,5.0,50.0,10.045819,50.38836,0.0,400.0038,0.0,0.0,False,False,01-31 04:50,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,10.014794,50.36047,0.0,400.00314,0.0,0.0,False,False,01-31 05:00,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,9.990815,50.329586,0.0,400.00262,0.0,0.0,False,False,01-31 05:10,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,9.961889,50.334637,0.0,400.00217,0.0,0.0,False,False,01-31 05:20,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,9.929975,50.366013,0.0,400.0018,0.0,0.0,False,False,01-31 05:30,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,9.898871,50.40793,0.0,400.0015,0.0,0.0,False,False,01-31 05:40,0.0,0.0
1.0,31.0,5.0,1.0,93.0,5.0,50.0,9.869834,50.453724,0.0,400.00125,0.0,0.0,False,False,01-31 05:50,0.0,0.0
1.0,31.0,6.0,1.0,91.833336,5.0,50.0,10.371726,48.808914,0.4,407.10464,0.0,0.0,True,False,01-31 06:00,0.0,0.0
1.0,31.0,6.0,1.0,90.666664,21.0,23.0,10.531712,48.270477,0.4,412.63422,0.0,11492.9,True,False,01-31 06:10,0.0,1.0
1.0,31.0,6.0,1.0,89.5,21.0,23.0,15.105178,35.774723,0.4,420.92575,0.0,1131139.9,True,False,01-31 06:20,0.0,1.0
1.0,31.0,6.0,1.0,88.333336,21.0,23.0,17.46717,30.818563,0.4,429.55063,0.0,1020083.25,True,False,01-31 06:30,0.0,1.0
1.0,31.0,6.0,1.0,87.166664,21.0,23.0,17.691221,30.430656,0.4,433.22412,0.0,1111915.1,True,False,01-31 06:40,0.0,1.0
1.0,31.0,6.0,1.0,86.0,21.0,23.0,19.18912,27.722128,0.4,436.73102,0.0,1016973.44,True,False,01-31 06:50,0.0,1.0
1.0,31.0,7.0,1.0,87.166664,21.0,23.0,19.48988,27.438892,0.8,449.48953,0.0,995843.3,True,False,01-31 07:00,0.0,1.0
1.0,31.0,7.0,1.0,88.333336,21.0,23.0,20.990192,25.145899,0.8,455.83496,0.0,955551.5,False,False,01-31 07:10,0.0,1.0
