months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,11.4,21.333334,5.0,50.0,19.990362,10.681907,0.0,416.10123,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,11.05,25.0,5.0,50.0,19.44604,11.3420925,0.0,415.6314,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,10.7,28.666666,5.0,50.0,19.108707,11.929916,0.0,415.5028,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,10.35,32.333332,5.0,50.0,18.702461,12.927417,0.0,413.81802,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,10.0,36.0,5.0,50.0,18.4472,13.948002,0.0,412.25916,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,10.166667,35.5,5.0,50.0,18.326405,14.632763,0.0,411.184,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,10.333333,35.0,5.0,50.0,18.219933,15.444463,0.0,409.9194,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,10.5,34.5,5.0,50.0,18.143953,16.142656,0.0,408.81543,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,10.666667,34.0,5.0,50.0,18.083124,16.746506,0.0,407.8423,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,10.833333,33.5,5.0,50.0,18.033375,17.270315,0.0,406.9786,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,11.0,33.0,5.0,50.0,17.993473,17.723915,0.0,406.21005,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,10.666667,33.833332,5.0,50.0,17.9295,18.158194,0.0,405.52542,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,10.333333,34.666668,5.0,50.0,17.838596,18.591326,0.0,404.91553,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,10.0,35.5,5.0,50.0,17.73284,19.015097,0.0,404.3724,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,9.666667,36.333332,5.0,50.0,17.621447,19.42095,0.0,403.88882,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,9.333333,37.166668,5.0,50.0,17.507675,19.806164,0.0,403.4584,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,9.0,38.0,5.0,50.0,17.391912,20.17136,0.0,403.07535,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,9.166667,37.666668,5.0,50.0,17.305813,20.484324,0.0,402.7347,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,9.333333,37.333332,5.0,50.0,17.250868,20.741632,0.0,402.43198,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,9.5,37.0,5.0,50.0,17.214525,20.960758,0.0,402.16296,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,9.666667,36.666668,5.0,50.0,17.187271,21.155146,0.0,401.9239,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,9.833333,36.333332,5.0,50.0,17.165508,21.330458,0.0,401.71136,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,10.0,36.0,5.0,50.0,17.148726,21.488222,0.0,401.52246,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,10.0,35.5,5.0,50.0,17.126358,21.622366,0.0,401.35443,0.0,0.0,False,False,01-31 04:00,0.0,0.0
1.0,31.0,4.0,10.0,35.0,5.0,50.0,17.097425,21.723768,0.0,401.20496,0.0,0.0,False,False,01-31 04:10,0.0,0.0
1.0,31.0,4.0,10.0,34.5,5.0,50.0,17.065475,21.787178,0.0,401.072,0.0,0.0,False,False,01-31 04:20,0.0,0.0
1.0,31.0,4.0,10.0,34.0,5.0,50.0,17.033188,21.812878,0.0,400.95367,0.0,0.0,False,False,01-31 04:30,0.0,0.0
1.0,31.0,4.0,10.0,33.5,5.0,50.0,17.001438,21.804295,0.0,400.84845,0.0,0.0,False,False,01-31 04:40,0.0,0.0
1.0,31.0,4.0,10.0,33.0,5.0,50.0,16.970245,21.765415,0.0,400.75482,0.0,0.0,False,False,01-31 04:50,0.0,0.0
