months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,temp_deviations,co2_deviations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,-6.266667,87.333336,5.0,50.0,9.217778,27.49046,0.0,406.30222,0.0,0.0,False,False,0.0,0,01-31 00:10,0.0,0.0
1.0,31.0,0.0,-6.5,88.5,5.0,50.0,8.708833,28.406715,0.0,405.8045,0.0,0.0,False,False,0.0,0,01-31 00:20,0.0,0.0
1.0,31.0,0.0,-6.733333,89.666664,5.0,50.0,8.461589,28.842411,0.0,405.46512,0.0,0.0,False,False,0.0,0,01-31 00:30,0.0,0.0
1.0,31.0,0.0,-6.9666667,90.833336,5.0,50.0,8.305316,29.093328,0.0,405.11963,0.0,0.0,False,False,0.0,0,01-31 00:40,0.0,0.0
1.0,31.0,0.0,-7.2,92.0,5.0,50.0,8.14455,29.297674,0.0,404.47644,0.0,0.0,False,False,0.0,0,01-31 00:50,0.0,0.0
1.0,31.0,1.0,-7.116667,91.333336,5.0,50.0,8.038865,29.363428,0.0,403.8644,0.0,0.0,False,False,0.0,0,01-31 01:00,0.0,0.0
1.0,31.0,1.0,-7.0333333,90.666664,5.0,50.0,7.9596496,29.39123,0.0,403.32852,0.0,0.0,False,False,0.0,0,01-31 01:10,0.0,0.0
1.0,31.0,1.0,-6.95,90.0,5.0,50.0,7.893756,29.410395,0.0,402.8717,0.0,0.0,False,False,0.0,0,01-31 01:20,0.0,0.0
1.0,31.0,1.0,-6.866667,89.333336,5.0,50.0,7.8376327,29.425848,0.0,402.48227,0.0,0.0,False,False,0.0,0,01-31 01:30,0.0,0.0
1.0,31.0,1.0,-6.7833333,88.666664,5.0,50.0,7.7905197,29.43601,0.0,402.14786,0.0,0.0,False,False,0.0,0,01-31 01:40,0.0,0.0
1.0,31.0,1.0,-6.7,88.0,5.0,50.0,7.75116,29.44089,0.0,401.85907,0.0,0.0,False,False,0.0,0,01-31 01:50,0.0,0.0
1.0,31.0,2.0,-6.7,88.666664,5.0,50.0,7.702337,29.48564,0.0,401.60907,0.0,0.0,False,False,0.0,0,01-31 02:00,0.0,0.0
1.0,31.0,2.0,-6.7,89.333336,5.0,50.0,7.6429343,29.585403,0.0,401.39258,0.0,0.0,False,False,0.0,0,01-31 02:10,0.0,0.0
1.0,31.0,2.0,-6.7,90.0,5.0,50.0,7.5793447,29.72728,0.0,401.2052,0.0,0.0,False,False,0.0,0,01-31 02:20,0.0,0.0
1.0,31.0,2.0,-6.7,90.666664,5.0,50.0,7.5162554,29.898172,0.0,401.04303,0.0,0.0,False,False,0.0,0,01-31 02:30,0.0,0.0
1.0,31.0,2.0,-6.7,91.333336,5.0,50.0,7.4551864,30.090836,0.0,400.9027,0.0,0.0,False,False,0.0,0,01-31 02:40,0.0,0.0
1.0,31.0,2.0,-6.7,92.0,5.0,50.0,7.396192,30.30159,0.0,400.78128,0.0,0.0,False,False,0.0,0,01-31 02:50,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,7.345994,30.501736,0.0,400.67624,0.0,0.0,False,False,0.0,0,01-31 03:00,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,7.304636,30.674576,0.0,400.58533,0.0,0.0,False,False,0.0,0,01-31 03:10,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,7.269131,30.823458,0.0,400.50665,0.0,0.0,False,False,0.0,0,01-31 03:20,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,7.237222,30.954187,0.0,400.43854,0.0,0.0,False,False,0.0,0,01-31 03:30,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,7.2079787,31.070585,0.0,400.3796,0.0,0.0,False,False,0.0,0,01-31 03:40,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,7.1810966,31.174818,0.0,400.32858,0.0,0.0,False,False,0.0,0,01-31 03:50,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,7.154893,31.271568,0.0,400.28442,0.0,0.0,False,False,0.0,0,01-31 04:00,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,7.128181,31.364222,0.0,400.24622,0.0,0.0,False,False,0.0,0,01-31 04:10,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,7.1014657,31.452393,0.0,400.21313,0.0,0.0,False,False,0.0,0,01-31 04:20,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,7.0753727,31.535322,0.0,400.1845,0.0,0.0,False,False,0.0,0,01-31 04:30,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,7.050111,31.61308,0.0,400.1597,0.0,0.0,False,False,0.0,0,01-31 04:40,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,7.025636,31.686203,0.0,400.13824,0.0,0.0,False,False,0.0,0,01-31 04:50,0.0,0.0
1.0,31.0,5.0,-6.6,91.333336,5.0,50.0,7.035237,31.690723,0.0,400.1197,0.0,0.0,False,False,0.0,0,01-31 05:00,0.0,0.0
1.0,31.0,5.0,-6.5,90.666664,5.0,50.0,7.0535917,31.67802,0.0,400.1036,0.0,0.0,False,False,0.0,0,01-31 05:10,0.0,0.0
1.0,31.0,5.0,-6.4,90.0,5.0,50.0,7.066915,31.678232,0.0,400.08972,0.0,0.0,False,False,0.0,0,01-31 05:20,0.0,0.0
1.0,31.0,5.0,-6.3,89.333336,5.0,50.0,7.075973,31.689217,0.0,400.07767,0.0,0.0,False,False,0.0,0,01-31 05:30,0.0,0.0
1.0,31.0,5.0,-6.2,88.666664,5.0,50.0,7.0847526,31.701757,0.0,400.06726,0.0,0.0,False,False,0.0,0,01-31 05:40,0.0,0.0
1.0,31.0,5.0,-6.1,88.0,5.0,50.0,7.095155,31.711252,0.0,400.05823,0.0,0.0,False,False,0.0,0,01-31 05:50,0.0,0.0
1.0,31.0,6.0,-6.016667,87.5,5.0,50.0,7.7749367,30.325008,0.96000004,407.19586,0.0,0.0,True,False,12.225063512622794,0,01-31 06:00,0.0,0.0
1.0,31.0,6.0,-5.9333334,87.0,21.0,23.0,10.717003,24.928232,0.96000004,416.71796,0.0,914850.6,True,False,9.282997273584881,0,01-31 06:10,0.0,1.0
1.0,31.0,6.0,-5.85,86.5,21.0,23.0,10.69799,24.777863,0.96000004,421.33875,0.0,1218248.0,True,False,9.302009152937,0,01-31 06:20,0.0,1.0
1.0,31.0,6.0,-5.766667,86.0,21.0,23.0,11.414672,23.530159,0.96000004,430.23047,0.0,1094233.6,True,False,8.585328499328465,0,01-31 06:30,0.0,1.0
1.0,31.0,6.0,-5.6833334,85.5,21.0,23.0,11.400141,23.381802,0.96000004,436.51285,0.0,1320108.5,True,False,8.599858923379005,0,01-31 06:40,0.0,1.0
1.0,31.0,6.0,-5.6,85.0,21.0,23.0,12.42947,21.84243,0.96000004,442.78445,0.0,970575.0,True,False,7.570529661685441,0,01-31 06:50,0.0,1.0
