months,day_of_months,hours,outdoor_temperatures,outdoor_humidities,htg_setpoints,clg_setpoints,air_temperatures,air_humidities,people_occupants,air_co2s,window_fan_energies,total_electricity_HVACs,temp_violations,co2_violations,time_labels,window_fan_speeds,ac_fan_speeds
1.0,31.0,0.0,-6.266667,87.333336,5.0,50.0,8.060653,29.202065,0.0,400.10812,0.0,0.0,False,False,01-31 00:10,0.0,0.0
1.0,31.0,0.0,-6.5,88.5,5.0,50.0,7.4088182,30.523201,0.0,400.09808,0.0,0.0,False,False,01-31 00:20,0.0,0.0
1.0,31.0,0.0,-6.733333,89.666664,5.0,50.0,7.0773673,31.20587,0.0,400.09265,0.0,0.0,False,False,01-31 00:30,0.0,0.0
1.0,31.0,0.0,-6.9666667,90.833336,5.0,50.0,6.776428,31.784374,0.0,400.07605,0.0,0.0,False,False,01-31 00:40,0.0,0.0
1.0,31.0,0.0,-7.2,92.0,5.0,50.0,6.5994606,32.103767,0.0,400.06378,0.0,0.0,False,False,01-31 00:50,0.0,0.0
1.0,31.0,1.0,-7.116667,91.333336,5.0,50.0,6.445305,32.317272,0.0,400.05127,0.0,0.0,False,False,01-31 01:00,0.0,0.0
1.0,31.0,1.0,-7.0333333,90.666664,5.0,50.0,6.320499,32.48478,0.0,400.04193,0.0,0.0,False,False,01-31 01:10,0.0,0.0
1.0,31.0,1.0,-6.95,90.0,5.0,50.0,6.2098284,32.64182,0.0,400.03464,0.0,0.0,False,False,01-31 01:20,0.0,0.0
1.0,31.0,1.0,-6.866667,89.333336,5.0,50.0,6.1130915,32.784996,0.0,400.02872,0.0,0.0,False,False,01-31 01:30,0.0,0.0
1.0,31.0,1.0,-6.7833333,88.666664,5.0,50.0,6.030694,32.908916,0.0,400.02383,0.0,0.0,False,False,01-31 01:40,0.0,0.0
1.0,31.0,1.0,-6.7,88.0,5.0,50.0,5.960941,33.013966,0.0,400.0197,0.0,0.0,False,False,01-31 01:50,0.0,0.0
1.0,31.0,2.0,-6.7,88.666664,5.0,50.0,5.8832235,33.164574,0.0,400.01633,0.0,0.0,False,False,01-31 02:00,0.0,0.0
1.0,31.0,2.0,-6.7,89.333336,5.0,50.0,5.797016,33.378956,0.0,400.0135,0.0,0.0,False,False,01-31 02:10,0.0,0.0
1.0,31.0,2.0,-6.7,90.0,5.0,50.0,5.709774,33.639217,0.0,400.01117,0.0,0.0,False,False,01-31 02:20,0.0,0.0
1.0,31.0,2.0,-6.7,90.666664,5.0,50.0,5.6259966,33.928844,0.0,400.00925,0.0,0.0,False,False,01-31 02:30,0.0,0.0
1.0,31.0,2.0,-6.7,91.333336,5.0,50.0,5.546491,34.239346,0.0,400.00766,0.0,0.0,False,False,01-31 02:40,0.0,0.0
1.0,31.0,2.0,-6.7,92.0,5.0,50.0,5.470813,34.566357,0.0,400.00632,0.0,0.0,False,False,01-31 02:50,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,5.4064784,34.868538,0.0,400.00525,0.0,0.0,False,False,01-31 03:00,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,5.352633,35.126152,0.0,400.00433,0.0,0.0,False,False,01-31 03:10,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,5.3054986,35.345596,0.0,400.0036,0.0,0.0,False,False,01-31 03:20,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,5.262704,35.53571,0.0,400.00296,0.0,0.0,False,False,01-31 03:30,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,5.223434,35.702393,0.0,400.00247,0.0,0.0,False,False,01-31 03:40,0.0,0.0
1.0,31.0,3.0,-6.7,92.0,5.0,50.0,5.1873994,35.849445,0.0,400.00204,0.0,0.0,False,False,01-31 03:50,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,5.152263,35.98489,0.0,400.00168,0.0,0.0,False,False,01-31 04:00,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,5.1174574,36.111813,0.0,400.0014,0.0,0.0,False,False,01-31 04:10,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,5.083498,36.230225,0.0,400.00116,0.0,0.0,False,False,01-31 04:20,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,5.0507846,36.3402,0.0,400.00095,0.0,0.0,False,False,01-31 04:30,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,5.0193586,36.442528,0.0,400.0008,0.0,0.0,False,False,01-31 04:40,0.0,0.0
1.0,31.0,4.0,-6.7,92.0,5.0,50.0,4.989108,36.53825,0.0,400.00064,0.0,0.0,False,False,01-31 04:50,0.0,0.0
1.0,31.0,5.0,-6.6,91.333336,5.0,50.0,4.992419,36.55558,0.0,400.00055,0.0,0.0,False,False,01-31 05:00,0.0,0.0
1.0,31.0,5.0,-6.5,90.666664,5.0,50.0,5.0042934,36.554375,0.0,400.00046,0.0,0.0,False,False,01-31 05:10,0.0,0.0
1.0,31.0,5.0,-6.4,90.0,5.0,50.0,5.012323,36.56631,0.0,400.00037,0.0,0.0,False,False,01-31 05:20,0.0,0.0
1.0,31.0,5.0,-6.3,89.333336,5.0,50.0,5.018081,36.586502,0.0,400.0003,0.0,0.0,False,False,01-31 05:30,0.0,0.0
1.0,31.0,5.0,-6.2,88.666664,5.0,50.0,5.025269,36.60455,0.0,400.00024,0.0,0.0,False,False,01-31 05:40,0.0,0.0
1.0,31.0,5.0,-6.1,88.0,5.0,50.0,5.034979,36.616894,0.0,400.0002,0.0,0.0,False,False,01-31 05:50,0.0,0.0
1.0,31.0,6.0,-6.016667,87.5,5.0,50.0,5.709605,34.979572,0.4,407.10226,0.0,0.0,True,False,01-31 06:00,0.0,0.0
1.0,31.0,6.0,-5.9333334,87.0,21.0,23.0,8.673494,27.525976,0.4,416.0605,0.0,1410390.6,True,False,01-31 06:10,0.0,1.0
