number,value,datetime_start,datetime_complete,duration,params_co2_weight,params_eps_decay,params_gamma,params_learning_rate,params_pmv_weight,params_tau,state
0,-481.27796789458154,2026-02-25 13:32:58.245449,2026-02-25 13:37:27.791949,0 days 00:04:29.546500,0.38497087414114295,6,0.9040243572037726,0.0004211479218328664,0.7304662959267398,0.008961507606349745,COMPLETE
1,-392.87164983832497,2026-02-25 13:37:27.827413,2026-02-25 13:41:54.520233,0 days 00:04:26.692820,0.5047274112885565,8,0.9747489702638066,0.0023812066915258646,0.3651731709375234,0.0014811637442776345,COMPLETE
2,-296.7885855035121,2026-02-25 13:41:54.551951,2026-02-25 13:46:13.598702,0 days 00:04:19.046751,0.6320711094071958,5,0.9328165167290672,0.0004793873032362228,0.4911435502754932,0.0056131095001601536,COMPLETE
3,-317.963960944601,2026-02-25 13:46:13.630837,2026-02-25 13:50:32.664455,0 days 00:04:19.033618,0.49335142449282643,9,0.9101634117927206,0.0013200815947610259,0.3054732204090942,0.01710891519962875,COMPLETE
4,-758.6579297769317,2026-02-25 13:50:32.695943,2026-02-25 13:54:53.328402,0 days 00:04:20.632459,0.33516177939556996,7,0.9852516148622388,0.0014458700361856833,0.4951319687019519,0.0015285732856478666,COMPLETE
5,-850.9798897657566,2026-02-25 13:54:53.362958,2026-02-25 13:59:13.058862,0 days 00:04:19.695904,0.33718533842773385,3,0.9133024136005748,0.0016243480474183068,0.32936379101969104,0.0010737220238116701,COMPLETE
6,-309.664998839927,2026-02-25 13:59:13.090676,2026-02-25 14:03:31.437595,0 days 00:04:18.346919,0.5734939325844293,7,0.975975717589122,0.0006335476801104971,0.6233063543906192,0.010332756218262849,COMPLETE
7,-590.5375785159193,2026-02-25 14:03:31.468665,2026-02-25 14:07:52.668232,0 days 00:04:21.199567,0.39849667258025956,10,0.9530766089248016,0.002430435724116824,0.5029589642413601,0.01968298140782131,COMPLETE
8,-547.0450153646449,2026-02-25 14:07:52.699939,2026-02-25 14:12:12.958518,0 days 00:04:20.258579,0.5031750850690475,8,0.9610691670642909,0.0016161282017644269,0.23791047827249606,0.001223692934372289,COMPLETE
9,-688.94193708636,2026-02-25 14:12:12.990353,2026-02-25 14:16:39.463831,0 days 00:04:26.473478,0.22901116220061096,4,0.9469842687347161,0.0021135378643369973,0.4841665586129568,0.0037666888947797835,COMPLETE
10,-378.54172253703916,2026-02-25 14:16:39.496890,2026-02-25 14:21:01.778676,0 days 00:04:22.281786,0.7708207729921964,12,0.929456421378562,0.00010811689751608233,0.6534059198497777,0.004200373679404554,COMPLETE
