number,value,datetime_start,datetime_complete,duration,params_co2_weight,params_eps_decay,params_gamma,params_learning_rate,params_pmv_weight,params_tau,state
0,-189.52765372058863,2026-02-25 15:49:26.706921,2026-02-25 15:54:19.614346,0 days 00:04:52.907425,0.7758536163051544,3,0.9667945776818794,0.0014920420397252275,0.3622739165713687,0.011579237917437264,COMPLETE
1,-1016.7640917542006,2026-02-25 15:54:19.649461,2026-02-25 15:59:09.659627,0 days 00:04:50.010166,0.4389381159005198,10,0.9717708591667567,0.0001652242920527354,0.6799215929687794,0.004325728132505351,COMPLETE
2,-330.9522377412053,2026-02-25 15:59:09.689117,2026-02-25 16:03:57.441752,0 days 00:04:47.752635,0.3809970515285843,7,0.9830037617585854,0.0038692965160832407,0.26379177844910084,0.005051086877574102,COMPLETE
3,-388.2569490808361,2026-02-25 16:03:57.476498,2026-02-25 16:08:45.926001,0 days 00:04:48.449503,0.426898792749425,9,0.9472455734309206,0.0016275565655786517,0.3380132936155224,0.014521257874152782,COMPLETE
4,-178.42949798283445,2026-02-25 16:08:45.960159,2026-02-25 16:13:21.527889,0 days 00:04:35.567730,0.5887702462774644,6,0.9055408194714223,0.002234155540954462,0.2695873305904246,0.0010657025414431104,COMPLETE
5,-889.6468365858263,2026-02-25 16:13:21.559405,2026-02-25 16:18:02.442310,0 days 00:04:40.882905,0.44485661314763936,10,0.952442421517692,0.0001374157315911735,0.34435771639306534,0.001196566512654611,COMPLETE
6,-592.9096829121504,2026-02-25 16:18:02.473482,2026-02-25 16:22:42.828394,0 days 00:04:40.354912,0.7324885199197473,8,0.9882015633151154,0.00012979657928013919,0.5794831565411462,0.00607673313378552,COMPLETE
7,-486.50478307222073,2026-02-25 16:22:42.859833,2026-02-25 16:27:22.869824,0 days 00:04:40.009991,0.2526911047654944,10,0.9074679268421865,0.001166126067151402,0.6252003805252726,0.01451616940798959,COMPLETE
8,-604.0729617273972,2026-02-25 16:27:22.901632,2026-02-25 16:32:05.722250,0 days 00:04:42.820618,0.6314354043081571,3,0.9814321822734003,0.00012416020265143665,0.2691451496932991,0.0012651071876633654,COMPLETE
9,-567.5426923872658,2026-02-25 16:32:05.753783,2026-02-25 16:36:48.937588,0 days 00:04:43.183805,0.45275090796768636,5,0.971255609597462,0.0002892398767124018,0.7253210578806455,0.011570954401438639,COMPLETE
