number,value,datetime_start,datetime_complete,duration,params_co2_weight,params_eps_decay,params_gamma,params_learning_rate,params_pmv_weight,params_tau,state
0,-637.7947718127451,2026-02-26 08:42:32.660480,2026-02-26 08:53:17.241734,0 days 00:10:44.581254,0.36832916696987433,6,0.9797887042892126,0.00039587417889155847,0.2750271573744728,0.0019256101864303828,COMPLETE
1,-647.4013787882136,2026-02-26 08:53:17.278048,2026-02-26 09:03:40.190995,0 days 00:10:22.912947,0.4278935008553872,6,0.9422378297333405,0.00020019729539394378,0.6127542288006959,0.002770831810578461,COMPLETE
2,-599.2501818369852,2026-02-26 09:03:40.225214,2026-02-26 09:14:09.572950,0 days 00:10:29.347736,0.38505778149200276,3,0.9301903215292845,0.004217078589195862,0.6587045368403266,0.003036927180314588,COMPLETE
3,-661.8024548381416,2026-02-26 09:14:09.602525,2026-02-26 09:24:51.039580,0 days 00:10:41.437055,0.6111413724781489,4,0.9585102943822386,0.003940622975262554,0.4148645143596108,0.0018868274787964296,COMPLETE
4,-479.30888445074453,2026-02-26 09:24:51.070383,2026-02-26 09:35:16.391259,0 days 00:10:25.320876,0.41735355302780885,9,0.9480074135998545,0.0020877299426722415,0.6272852538816688,0.002338356222080499,COMPLETE
5,-612.500694871033,2026-02-26 09:35:16.427321,2026-02-26 09:45:56.231555,0 days 00:10:39.804234,0.5100257704467146,7,0.9263733510341532,0.0015027587326547727,0.679348189604957,0.007312039273450456,COMPLETE
6,-599.4747131151289,2026-02-26 09:45:56.260420,2026-02-26 09:56:21.720490,0 days 00:10:25.460070,0.4193085409310461,8,0.9745914969966244,0.0008779900602837967,0.770904052135261,0.0010402248893428261,COMPLETE
7,-622.179126942583,2026-02-26 09:56:21.753959,2026-02-26 10:06:49.218669,0 days 00:10:27.464710,0.4951694444869651,6,0.9742321272541213,0.00018844758246213642,0.5169549531963222,0.0057864037779658825,COMPLETE
8,-377.41833944714625,2026-02-26 10:06:49.249502,2026-02-26 10:17:10.404407,0 days 00:10:21.154905,0.7232027782728381,6,0.9654558840053131,0.0008887250313288235,0.38786939712391044,0.001474841004088007,COMPLETE
9,-575.9749201473246,2026-02-26 10:17:10.438196,2026-02-26 10:27:43.128471,0 days 00:10:32.690275,0.46961840235243063,5,0.9575308619888266,0.00029384227045727116,0.5841877127813125,0.0012411279756476873,COMPLETE
10,-747.6908454512961,2026-02-26 10:27:43.160520,2026-02-26 10:38:19.793054,0 days 00:10:36.632534,0.7683319510330897,12,0.9056304358065654,0.0001045855937666237,0.20029637176558032,0.016793955085584945,COMPLETE
11,-855.1508729026248,2026-02-26 10:38:19.829197,2026-02-26 10:48:43.984686,0 days 00:10:24.155489,0.23308565164880968,9,0.9575483844368238,0.0017494402143474995,0.40818755179322413,0.0035862142150122466,COMPLETE
12,-214.99434142178754,2026-02-26 10:48:44.016097,2026-02-26 10:59:16.293246,0 days 00:10:32.277149,0.7959062282330318,10,0.9413961368833261,0.0018493452281874378,0.3841686166750159,0.0019182088072140203,COMPLETE
13,-126.3543632327713,2026-02-26 10:59:16.325224,2026-02-26 11:09:46.591870,0 days 00:10:30.266646,0.7942974613190892,11,0.9266520243518698,0.0008199006813729599,0.36832650609340145,0.0014763541512871638,COMPLETE
14,-411.07466361690103,2026-02-26 11:09:46.622905,2026-02-26 11:20:32.771524,0 days 00:10:46.148619,0.6740544044953513,12,0.9137288560965005,0.0005583270122759025,0.3289118114402608,0.004948664854607795,COMPLETE
15,-181.7878571341321,2026-02-26 11:20:32.802983,2026-02-26 11:31:13.206387,0 days 00:10:40.403404,0.7894312304769026,10,0.9293636714612105,0.0011085855213065572,0.48250156589472515,0.0015519331826108086,COMPLETE
16,-501.4607679868371,2026-02-26 11:31:13.237870,2026-02-26 11:41:42.857914,0 days 00:10:29.620044,0.639345052463683,11,0.9237107422579979,0.0011042386978725662,0.49524957332679814,0.011168292532721042,COMPLETE
17,-360.40820118143273,2026-02-26 11:41:42.890022,2026-02-26 11:52:03.524284,0 days 00:10:20.634262,0.720993181099238,10,0.9002021802490205,0.0005697351742023509,0.5110447589788227,0.0014269161916564267,COMPLETE
18,-639.8240739405574,2026-02-26 11:52:03.555198,2026-02-26 12:02:32.657700,0 days 00:10:29.102502,0.5556579348881717,11,0.9151466360505437,0.002702067072414237,0.46563624611130977,0.003844124398577269,COMPLETE
19,-420.396072613121,2026-02-26 12:02:32.692630,2026-02-26 12:13:06.223391,0 days 00:10:33.530761,0.7343947250033561,10,0.9899869974120395,0.0011141352055993468,0.3227947034782136,0.0010053603698392897,COMPLETE
20,-456.5559903281363,2026-02-26 12:13:06.267057,2026-02-26 12:23:22.541802,0 days 00:10:16.274745,0.5708348808601695,8,0.9334675784425865,0.00042460586243967934,0.22559406510824526,0.0024697177004172352,COMPLETE
21,-142.38790711225596,2026-02-26 12:23:22.571289,2026-02-26 12:33:38.494798,0 days 00:10:15.923509,0.7855656595194922,10,0.9415962179862869,0.0028687172868313124,0.34657695814356093,0.0016891670483266867,COMPLETE
22,-127.8249984037963,2026-02-26 12:33:38.528616,2026-02-26 12:44:01.942216,0 days 00:10:23.413600,0.7930661549316964,11,0.9365763589947074,0.003131965823176868,0.295162370311426,0.0015454298522825085,COMPLETE
23,-647.2887423935099,2026-02-26 12:44:01.977250,2026-02-26 12:54:33.264784,0 days 00:10:31.287534,0.6839439072591659,11,0.9389556527815102,0.0029700506254220645,0.3099740334582462,0.001765519216885961,COMPLETE
24,-326.2703342588386,2026-02-26 12:54:33.306021,2026-02-26 13:05:00.573195,0 days 00:10:27.267174,0.751135071003165,12,0.9483179306769915,0.0048670308344339885,0.26113049900662355,0.0012409104485600242,COMPLETE
25,-533.1689254135097,2026-02-26 13:05:00.605280,2026-02-26 13:15:27.232569,0 days 00:10:26.627289,0.6872041936046408,9,0.9217736102446439,0.0031374602123961947,0.35606616384876205,0.0021134600375631485,COMPLETE
26,-945.8359489886343,2026-02-26 13:15:27.266979,2026-02-26 13:26:10.802171,0 days 00:10:43.535192,0.2876934995902847,11,0.93469208089267,0.0022845558013268653,0.291849496606389,0.0031310677987881662,COMPLETE
27,-67.4311420109707,2026-02-26 13:26:10.838219,2026-02-26 13:37:00.799308,0 days 00:10:49.961089,0.7991678997698177,12,0.9510192985090218,0.0013727310766520186,0.43460603776522655,0.0013626529571602415,COMPLETE
28,-545.9729212340588,2026-02-26 13:37:00.831530,2026-02-26 13:47:40.301678,0 days 00:10:39.470148,0.6200988446288095,12,0.9499124055199003,0.0013716752905454663,0.45922183735707517,0.0011985841269675087,COMPLETE
29,-313.0018956454456,2026-02-26 13:47:40.333665,2026-02-26 13:58:13.573064,0 days 00:10:33.239399,0.6604346542211335,11,0.918557388425166,0.0006574643767486034,0.2551325801920202,0.0023483580716189938,COMPLETE
